Model: gemma_7b-instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 42554.37 seconds
Average inference time per article: 21.1 seconds
Inference times per article:
Article 295: 39.35 seconds
Article 296: 29.97 seconds
Article 297: 19.51 seconds
Article 298: 34.03 seconds
Article 299: 14.22 seconds
Article 300: 20.51 seconds
Article 301: 23.57 seconds
Article 302: 8.29 seconds
Article 303: 18.82 seconds
Article 304: 24.24 seconds
Article 305: 0.83 seconds
Article 306: 0.00 seconds
Article 307: 23.08 seconds
Article 308: 19.63 seconds
Article 309: 7.70 seconds
Article 310: 26.11 seconds
Article 311: 24.37 seconds
Article 312: 17.92 seconds
Article 313: 15.58 seconds
Article 314: 14.29 seconds
Article 315: 25.65 seconds
Article 316: 23.10 seconds
Article 317: 32.67 seconds
Article 318: 10.46 seconds
Article 319: 32.35 seconds
Article 320: 27.87 seconds
Article 321: 18.11 seconds
Article 322: 16.10 seconds
Article 323: 5.39 seconds
Article 324: 6.54 seconds
Article 325: 18.46 seconds
Article 326: 17.56 seconds
Article 327: 25.80 seconds
Article 328: 9.32 seconds
Article 329: 27.97 seconds
Article 330: 7.96 seconds
Article 331: 26.15 seconds
Article 332: 30.48 seconds
Article 333: 32.54 seconds
Article 334: 19.69 seconds
Article 335: 28.84 seconds
Article 336: 5.13 seconds
Article 337: 25.00 seconds
Article 338: 24.42 seconds
Article 339: 38.75 seconds
Article 340: 32.45 seconds
Article 341: 44.61 seconds
Article 342: 19.61 seconds
Article 343: 11.16 seconds
Article 344: 35.76 seconds
Article 345: 27.05 seconds
Article 346: 29.37 seconds
Article 347: 34.45 seconds
Article 348: 38.94 seconds
Article 349: 22.52 seconds
Article 350: 24.61 seconds
Article 351: 30.60 seconds
Article 352: 28.40 seconds
Article 353: 18.14 seconds
Article 354: 32.43 seconds
Article 355: 13.88 seconds
Article 356: 13.30 seconds
Article 357: 20.57 seconds
Article 358: 32.92 seconds
Article 359: 26.30 seconds
Article 360: 33.43 seconds
Article 361: 31.14 seconds
Article 362: 21.48 seconds
Article 363: 15.48 seconds
Article 364: 30.56 seconds
