Model: Mixtral-8x7B-Instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 63261.63 seconds
Average inference time per article: 31.5 seconds
Inference times per article:
Article 330: 24.95 seconds
Article 331: 39.48 seconds
Article 332: 8.56 seconds
Article 333: 28.60 seconds
Article 334: 18.73 seconds
Article 335: 26.82 seconds
Article 336: 27.15 seconds
Article 337: 26.37 seconds
Article 338: 24.67 seconds
Article 339: 33.65 seconds
Article 340: 30.42 seconds
Article 341: 27.16 seconds
Article 342: 18.06 seconds
Article 343: 40.77 seconds
Article 344: 26.31 seconds
Article 345: 46.85 seconds
Article 346: 38.54 seconds
Article 347: 46.96 seconds
Article 348: 45.02 seconds
Article 349: 27.99 seconds
Article 350: 35.67 seconds
Article 351: 29.72 seconds
Article 352: 30.47 seconds
Article 353: 27.72 seconds
Article 354: 23.58 seconds
Article 355: 34.16 seconds
Article 356: 27.05 seconds
Article 357: 33.01 seconds
Article 358: 28.18 seconds
Article 359: 20.43 seconds
Article 360: 40.90 seconds
Article 361: 34.65 seconds
Article 362: 10.12 seconds
Article 363: 16.54 seconds
Article 364: 47.78 seconds
Article 365: 49.85 seconds
Article 366: 38.15 seconds
Article 367: 47.94 seconds
Article 368: 30.36 seconds
Article 369: 36.76 seconds
Article 370: 41.19 seconds
Article 371: 48.40 seconds
Article 372: 48.33 seconds
Article 373: 24.41 seconds
Article 374: 22.86 seconds
Article 375: 32.23 seconds
Article 376: 27.87 seconds
Article 377: 17.41 seconds
Article 378: 42.01 seconds
Article 379: 35.81 seconds
Article 380: 51.64 seconds
Article 381: 44.04 seconds
Article 382: 35.50 seconds
Article 383: 61.81 seconds
Article 384: 7.68 seconds
Article 385: 11.08 seconds
Article 386: 38.09 seconds
Article 387: 19.94 seconds
Article 388: 60.11 seconds
Article 389: 16.78 seconds
Article 390: 29.27 seconds
Article 391: 6.17 seconds
Article 392: 42.94 seconds
Article 393: 31.04 seconds
Article 394: 29.21 seconds
Article 395: 17.09 seconds
Article 396: 15.92 seconds
Article 397: 33.01 seconds
Article 398: 22.24 seconds
Article 399: 33.67 seconds
Article 400: 32.19 seconds
Article 401: 43.06 seconds
Article 402: 22.27 seconds
Article 403: 32.88 seconds
Article 404: 36.76 seconds
Article 405: 27.84 seconds
Article 406: 27.89 seconds
Article 407: 30.90 seconds
Article 408: 50.30 seconds
Article 409: 39.52 seconds
Article 410: 45.07 seconds
Article 411: 26.30 seconds
Article 412: 35.83 seconds
Article 413: 27.23 seconds
Article 414: 53.98 seconds
Article 415: 33.82 seconds
Article 416: 38.94 seconds
Article 417: 17.79 seconds
Article 418: 39.50 seconds
Article 419: 20.56 seconds
Article 420: 38.22 seconds
Article 421: 30.33 seconds
Article 422: 22.40 seconds
Article 423: 25.53 seconds
Article 424: 21.41 seconds
Article 425: 46.88 seconds
Article 426: 37.50 seconds
Article 427: 46.40 seconds
Article 428: 47.46 seconds
Article 429: 29.89 seconds
Article 430: 40.35 seconds
Article 431: 14.67 seconds
Article 432: 20.04 seconds
Article 433: 21.26 seconds
Article 434: 42.63 seconds
Article 435: 26.61 seconds
Article 436: 28.47 seconds
Article 437: 26.68 seconds
Article 438: 36.97 seconds
Article 439: 32.82 seconds
Article 440: 54.54 seconds
Article 441: 19.55 seconds
Article 442: 42.98 seconds
Article 443: 29.10 seconds
Article 444: 45.84 seconds
Article 445: 22.71 seconds
Article 446: 17.13 seconds
Article 447: 41.86 seconds
Article 448: 43.41 seconds
Article 449: 21.75 seconds
Article 450: 33.33 seconds
Article 451: 33.50 seconds
Article 452: 19.90 seconds
Article 453: 25.41 seconds
Article 454: 33.43 seconds
Article 455: 27.82 seconds
Article 456: 22.32 seconds
Article 457: 42.58 seconds
Article 458: 34.09 seconds
Article 459: 14.04 seconds
Article 460: 35.48 seconds
Article 461: 19.01 seconds
Article 462: 27.99 seconds
Article 463: 38.68 seconds
Article 464: 41.57 seconds
Article 465: 32.28 seconds
Article 466: 11.76 seconds
Article 467: 33.35 seconds
Article 468: 29.91 seconds
Article 469: 28.44 seconds
Article 470: 23.79 seconds
Article 471: 30.90 seconds
Article 472: 37.02 seconds
Article 473: 42.83 seconds
Article 474: 37.00 seconds
Article 475: 24.70 seconds
Article 476: 40.62 seconds
Article 477: 25.78 seconds
Article 478: 37.80 seconds
Article 479: 50.62 seconds
Article 480: 24.01 seconds
Article 481: 31.47 seconds
Article 482: 25.37 seconds
Article 483: 20.66 seconds
Article 484: 27.24 seconds
Article 485: 28.25 seconds
Article 486: 43.84 seconds
Article 487: 13.61 seconds
Article 488: 30.47 seconds
Article 489: 36.04 seconds
Article 490: 47.26 seconds
Article 491: 23.56 seconds
Article 492: 27.55 seconds
Article 493: 26.23 seconds
Article 494: 28.93 seconds
Article 495: 41.49 seconds
Article 496: 27.97 seconds
Article 497: 33.27 seconds
Article 498: 51.42 seconds
Article 499: 29.84 seconds
Article 500: 32.92 seconds
Article 501: 26.42 seconds
Article 502: 13.56 seconds
Article 503: 36.05 seconds
Article 504: 41.25 seconds
Article 505: 42.02 seconds
Article 506: 27.20 seconds
Article 507: 33.80 seconds
Article 508: 27.08 seconds
Article 509: 34.86 seconds
Article 510: 34.38 seconds
Article 511: 15.17 seconds
Article 512: 35.01 seconds
Article 513: 32.42 seconds
Article 514: 22.82 seconds
Article 515: 34.23 seconds
Article 516: 35.75 seconds
Article 517: 33.67 seconds
Article 518: 50.91 seconds
Article 519: 25.94 seconds
Article 520: 27.59 seconds
Article 521: 33.15 seconds
Article 522: 38.86 seconds
Article 523: 27.62 seconds
Article 524: 32.49 seconds
Article 525: 38.57 seconds
Article 526: 37.49 seconds
Article 527: 22.71 seconds
Article 528: 37.20 seconds
Article 529: 16.30 seconds
Article 530: 34.06 seconds
Article 531: 18.82 seconds
Article 532: 27.34 seconds
Article 533: 25.89 seconds
Article 534: 42.69 seconds
Article 535: 23.33 seconds
Article 536: 29.02 seconds
Article 537: 29.08 seconds
Article 538: 22.40 seconds
Article 539: 44.19 seconds
Article 540: 42.18 seconds
Article 541: 26.64 seconds
Article 542: 30.91 seconds
Article 543: 35.27 seconds
Article 544: 21.45 seconds
Article 545: 35.23 seconds
Article 546: 39.67 seconds
Article 547: 22.35 seconds
Article 548: 48.33 seconds
Article 549: 25.15 seconds
Article 550: 20.33 seconds
Article 551: 19.84 seconds
Article 552: 32.13 seconds
Article 553: 13.86 seconds
Article 554: 30.61 seconds
Article 555: 47.28 seconds
Article 556: 34.70 seconds
Article 557: 25.68 seconds
Article 558: 26.46 seconds
Article 559: 34.89 seconds
Article 560: 31.50 seconds
Article 561: 25.72 seconds
Article 562: 41.08 seconds
Article 563: 40.79 seconds
Article 564: 34.53 seconds
Article 565: 18.27 seconds
Article 566: 41.98 seconds
Article 567: 43.98 seconds
Article 568: 37.39 seconds
Article 569: 27.90 seconds
Article 570: 32.46 seconds
Article 571: 28.88 seconds
Article 572: 29.95 seconds
Article 573: 29.22 seconds
Article 574: 11.42 seconds
Article 575: 21.57 seconds
Article 576: 44.65 seconds
Article 577: 36.31 seconds
Article 578: 40.89 seconds
Article 579: 28.92 seconds
Article 580: 29.41 seconds
Article 581: 18.98 seconds
Article 582: 27.04 seconds
Article 583: 30.16 seconds
Article 584: 38.90 seconds
Article 585: 22.97 seconds
Article 586: 36.24 seconds
Article 587: 38.86 seconds
Article 588: 50.09 seconds
Article 589: 33.37 seconds
Article 590: 37.88 seconds
Article 591: 44.58 seconds
Article 592: 23.30 seconds
Article 593: 22.99 seconds
Article 594: 9.76 seconds
Article 595: 21.91 seconds
Article 596: 13.75 seconds
Article 597: 45.14 seconds
Article 598: 41.26 seconds
Article 599: 27.72 seconds
Article 600: 22.72 seconds
Article 601: 9.28 seconds
Article 602: 14.11 seconds
Article 603: 26.19 seconds
Article 604: 24.55 seconds
Article 605: 45.68 seconds
Article 606: 25.89 seconds
Article 607: 51.91 seconds
Article 608: 42.02 seconds
Article 609: 21.86 seconds
Article 610: 23.80 seconds
Article 611: 30.36 seconds
Article 612: 41.08 seconds
Article 613: 32.31 seconds
Article 614: 49.82 seconds
Article 615: 36.26 seconds
Article 616: 44.36 seconds
