Model: gemma_7b-instruct
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 21681.65 seconds
Average inference time per article: 10.2 seconds
Inference times per article:
Article 369: 19.69 seconds
Article 370: 9.85 seconds
Article 371: 0.00 seconds
Article 372: 0.00 seconds
Article 373: 15.31 seconds
Article 374: 0.00 seconds
Article 375: 0.00 seconds
Article 376: 3.84 seconds
Article 377: 8.18 seconds
Article 378: 14.31 seconds
Article 379: 0.00 seconds
Article 380: 25.73 seconds
Article 381: 5.36 seconds
Article 382: 24.84 seconds
Article 383: 16.67 seconds
Article 384: 0.00 seconds
Article 385: 9.06 seconds
Article 386: 8.67 seconds
Article 387: 11.35 seconds
Article 388: 12.12 seconds
Article 389: 0.86 seconds
Article 390: 4.69 seconds
Article 391: 7.53 seconds
Article 392: 13.31 seconds
Article 393: 29.14 seconds
Article 394: 6.29 seconds
Article 395: 7.59 seconds
Article 396: 23.81 seconds
Article 397: 9.66 seconds
Article 398: 24.14 seconds
Article 399: 13.52 seconds
Article 400: 17.30 seconds
Article 401: 0.00 seconds
Article 402: 8.46 seconds
Article 403: 16.12 seconds
Article 404: 2.10 seconds
Article 405: 29.80 seconds
Article 406: 21.86 seconds
Article 407: 25.06 seconds
Article 408: 6.71 seconds
Article 409: 15.33 seconds
Article 410: 0.00 seconds
Article 411: 0.00 seconds
Article 412: 0.00 seconds
Article 413: 0.00 seconds
Article 414: 8.16 seconds
Article 415: 6.33 seconds
Article 416: 4.39 seconds
Article 417: 18.03 seconds
Article 418: 0.00 seconds
Article 419: 16.67 seconds
Article 420: 18.68 seconds
Article 421: 18.62 seconds
Article 422: 8.34 seconds
Article 423: 6.04 seconds
Article 424: 0.00 seconds
Article 425: 7.45 seconds
Article 426: 5.83 seconds
Article 427: 3.23 seconds
Article 428: 12.99 seconds
Article 429: 3.67 seconds
Article 430: 0.00 seconds
Article 431: 11.61 seconds
Article 432: 0.00 seconds
Article 433: 11.73 seconds
Article 434: 6.08 seconds
Article 435: 9.44 seconds
Article 436: 21.95 seconds
Article 437: 8.18 seconds
Article 438: 0.00 seconds
Article 439: 14.19 seconds
Article 440: 3.40 seconds
Article 441: 39.85 seconds
Article 442: 18.03 seconds
Article 443: 3.16 seconds
Article 444: 0.48 seconds
Article 445: 16.53 seconds
Article 446: 0.00 seconds
Article 447: 26.60 seconds
Article 448: 11.55 seconds
Article 449: 17.78 seconds
Article 450: 6.90 seconds
Article 451: 0.00 seconds
Article 452: 4.92 seconds
Article 453: 12.46 seconds
Article 454: 11.98 seconds
Article 455: 11.88 seconds
Article 456: 4.87 seconds
Article 457: 1.42 seconds
Article 458: 4.04 seconds
Article 459: 2.85 seconds
Article 460: 33.22 seconds
Article 461: 29.51 seconds
Article 462: 21.39 seconds
Article 463: 0.00 seconds
Article 464: 7.80 seconds
Article 465: 5.57 seconds
Article 466: 2.13 seconds
Article 467: 13.30 seconds
Article 468: 0.00 seconds
Article 469: 12.05 seconds
Article 470: 0.00 seconds
Article 471: 17.97 seconds
Article 472: 15.37 seconds
Article 473: 9.86 seconds
Article 474: 5.09 seconds
Article 475: 5.94 seconds
Article 476: 7.02 seconds
Article 477: 23.14 seconds
Article 478: 2.30 seconds
Article 479: 14.38 seconds
Article 480: 11.64 seconds
Article 481: 5.70 seconds
Article 482: 5.87 seconds
Article 483: 0.00 seconds
Article 484: 8.81 seconds
Article 485: 5.18 seconds
Article 486: 20.76 seconds
Article 487: 40.06 seconds
Article 488: 22.58 seconds
Article 489: 15.56 seconds
Article 490: 25.71 seconds
Article 491: 11.25 seconds
