Model: Mixtral-8x7B-Instruct
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 73625.13 seconds
Average inference time per article: 36.81 seconds
Inference times per article:
Article 380: 58.03 seconds
Article 381: 55.16 seconds
Article 382: 41.70 seconds
Article 383: 44.02 seconds
Article 384: 32.98 seconds
Article 385: 37.08 seconds
Article 386: 32.22 seconds
Article 387: 41.30 seconds
Article 388: 29.78 seconds
Article 389: 38.63 seconds
Article 390: 39.48 seconds
Article 391: 50.03 seconds
Article 392: 44.51 seconds
Article 393: 49.86 seconds
Article 394: 28.90 seconds
Article 395: 23.13 seconds
Article 396: 34.26 seconds
Article 397: 58.62 seconds
Article 398: 45.35 seconds
Article 399: 32.17 seconds
Article 400: 14.65 seconds
Article 401: 36.66 seconds
Article 402: 42.07 seconds
Article 403: 45.60 seconds
Article 404: 44.73 seconds
Article 405: 32.45 seconds
Article 406: 42.65 seconds
Article 407: 43.20 seconds
Article 408: 44.61 seconds
Article 409: 34.75 seconds
Article 410: 34.68 seconds
Article 411: 24.06 seconds
Article 412: 34.27 seconds
Article 413: 26.75 seconds
Article 414: 71.17 seconds
Article 415: 40.79 seconds
Article 416: 35.38 seconds
Article 417: 35.80 seconds
Article 418: 34.62 seconds
Article 419: 27.42 seconds
Article 420: 26.01 seconds
Article 421: 43.45 seconds
Article 422: 43.40 seconds
Article 423: 30.71 seconds
Article 424: 30.67 seconds
Article 425: 30.95 seconds
Article 426: 25.59 seconds
Article 427: 44.86 seconds
Article 428: 34.67 seconds
Article 429: 19.02 seconds
Article 430: 49.21 seconds
Article 431: 34.44 seconds
Article 432: 32.04 seconds
Article 433: 28.95 seconds
Article 434: 48.36 seconds
Article 435: 41.45 seconds
Article 436: 25.32 seconds
Article 437: 24.07 seconds
Article 438: 46.65 seconds
Article 439: 44.72 seconds
Article 440: 27.11 seconds
Article 441: 35.90 seconds
Article 442: 42.03 seconds
Article 443: 35.60 seconds
Article 444: 19.00 seconds
Article 445: 30.85 seconds
Article 446: 28.46 seconds
Article 447: 41.06 seconds
Article 448: 43.32 seconds
Article 449: 29.40 seconds
Article 450: 26.32 seconds
Article 451: 41.42 seconds
Article 452: 40.62 seconds
Article 453: 32.83 seconds
Article 454: 35.38 seconds
Article 455: 8.50 seconds
Article 456: 50.79 seconds
Article 457: 29.10 seconds
Article 458: 10.50 seconds
Article 459: 24.63 seconds
Article 460: 48.25 seconds
Article 461: 29.94 seconds
Article 462: 46.12 seconds
Article 463: 41.20 seconds
Article 464: 30.42 seconds
